Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,165.0,3.0,1.09,9.9,1.1413853168487549,11.154365539550781
10.0,170.0,3.0,1.08,9.9,1.1413943767547607,11.161388397216797
10.0,175.0,3.0,1.09,10.0,1.141403317451477,11.168411254882812
10.0,180.0,3.0,1.08,9.9,1.1414122581481934,11.173809051513672
10.0,185.0,3.0,1.1,9.9,1.1414098739624023,11.177749633789062
10.0,190.0,3.0,1.1,9.8,1.1413613557815552,11.181694030761719
10.0,195.0,3.0,1.1,9.8,1.1413129568099976,11.185630798339844
10.0,200.0,3.0,1.1,9.8,1.1412644386291504,11.189571380615234
10.0,205.0,3.0,1.1,9.9,1.1412159204483032,11.193511962890625
10.0,210.0,3.0,1.1,9.9,1.141167402267456,11.197456359863281
10.0,215.0,3.0,1.11,9.9,1.1411188840866089,11.201396942138672
10.0,220.0,3.0,1.11,9.8,1.1410703659057617,11.205368041992188
10.0,225.0,3.0,1.1,9.9,1.141021966934204,11.209346771240234
10.0,230.0,3.0,1.1,9.9,1.1409741640090942,11.213325500488281
10.0,235.0,3.0,1.1,9.8,1.1409285068511963,11.217304229736328
10.0,240.0,3.0,1.11,10.0,1.1408827304840088,11.22127914428711
10.0,245.0,3.0,1.11,9.8,1.1408369541168213,11.22525405883789
10.0,250.0,3.0,1.1,10.0,1.1407911777496338,11.229232788085938
10.0,255.0,3.0,1.09,9.8,1.1407454013824463,11.233207702636719
10.0,260.0,3.0,1.11,9.8,1.1406996250152588,11.237186431884766
10.0,265.0,3.0,1.09,9.8,1.1406538486480713,11.241161346435547
10.0,270.0,3.0,1.1,9.8,1.1406080722808838,11.245140075683594
10.0,275.0,3.0,1.1,9.8,1.1405622959136963,11.249114990234375
10.0,280.0,3.0,1.11,9.9,1.1405165195465088,11.253097534179688
10.0,285.0,3.0,1.11,9.9,1.1404707431793213,11.257072448730469
10.0,290.0,3.0,1.11,10.0,1.1404249668121338,11.261043548583984
10.0,295.0,3.0,1.11,9.8,1.1403791904449463,11.265022277832031
10.0,300.0,3.0,1.11,9.8,1.1403334140777588,11.269001007080078
10.0,305.0,3.0,1.11,9.9,1.1402876377105713,11.272979736328125
10.0,310.0,3.0,1.1,10.0,1.1402418613433838,11.276954650878906
10.0,315.0,3.0,1.1,9.9,1.1401960849761963,11.280929565429688
10.0,320.0,3.0,1.1,9.8,1.1401503086090088,11.284904479980469
10.0,325.0,3.0,1.1,9.9,1.1401045322418213,11.288883209228516
10.0,330.0,3.0,1.1,9.9,1.1400587558746338,11.292861938476562
10.0,335.0,3.0,1.1,9.9,1.1400129795074463,11.296836853027344
10.0,340.0,3.0,1.09,9.9,1.1399672031402588,11.300811767578125
10.0,345.0,3.0,1.1,9.9,1.1399214267730713,11.304790496826172
10.0,350.0,3.0,1.1,9.9,1.1398757696151733,11.308769226074219
10.0,355.0,3.0,1.1,9.9,1.1398298740386963,11.312744140625
10.0,360.0,3.0,1.09,9.9,1.1397842168807983,11.316719055175781
10.0,365.0,3.0,1.09,9.9,1.1397384405136108,11.320697784423828
10.0,370.0,3.0,1.1,9.9,1.1396926641464233,11.324676513671875
10.0,375.0,3.0,1.1,9.9,1.1396468877792358,11.328651428222656
10.0,380.0,3.0,1.09,9.9,1.1396011114120483,11.332626342773438
10.0,385.0,3.0,1.09,9.8,1.1395553350448608,11.336605072021484
10.0,390.0,3.0,1.1,9.9,1.1395095586776733,11.340579986572266
10.0,395.0,3.0,1.11,9.9,1.1394637823104858,11.344558715820312
10.0,400.0,3.0,1.1,9.9,1.1394180059432983,11.348533630371094
10.0,405.0,3.0,1.1,9.8,1.1393722295761108,11.35251235961914
10.0,410.0,3.0,1.1,9.8,1.1393264532089233,11.356487274169922
10.0,415.0,3.0,1.09,9.8,1.1392806768417358,11.360466003417969
10.0,420.0,3.0,1.1,9.9,1.139235019683838,11.36444091796875
10.0,425.0,3.0,1.11,9.9,1.1391892433166504,11.368419647216797
10.0,430.0,3.0,1.1,9.9,1.139143466949463,11.372394561767578
