Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,370.0,3.0,1.1,9.9,1.0933875455897069,9.333572766523073
10.0,375.0,3.0,1.1,9.9,1.0933202499811863,9.334184424237916
10.0,380.0,3.0,1.09,9.9,1.0921063353897145,9.335394556073854
10.0,385.0,3.0,1.09,9.8,1.090303734018137,9.33080468790979
10.0,390.0,3.0,1.1,9.9,1.0940564622514755,9.337613293866823
10.0,395.0,3.0,1.11,9.9,1.095659203953837,9.339824951581667
10.0,400.0,3.0,1.1,9.9,1.095025265520507,9.339035083417604
10.0,405.0,3.0,1.1,9.8,1.0933446604205104,9.311111881920203
10.0,410.0,3.0,1.1,9.8,1.0920840553205138,9.30512201375614
10.0,415.0,3.0,1.09,9.8,1.0901701168871845,9.306533671470984
10.0,420.0,3.0,1.1,9.9,1.0929628451205227,9.33927713664026
10.0,425.0,3.0,1.11,9.9,1.0964955733538613,9.343085742597292
10.0,430.0,3.0,1.1,9.9,1.0933683015871973,9.34949587443323
10.0,435.0,3.0,1.1,10.0,1.0933610298205347,9.381042391360303
10.0,440.0,3.0,1.11,9.9,1.0962937580538736,9.353119189862918
10.0,445.0,3.0,1.1,9.9,1.0935064862872097,9.349529321698855
10.0,450.0,3.0,1.1,9.9,1.093139214520547,9.349537927655884
10.0,455.0,3.0,1.1,9.9,1.0929319427538844,9.34874958537073
10.0,460.0,3.0,1.09,9.8,1.0898646709872213,9.319026383873329
10.0,465.0,3.0,1.1,9.9,1.0925174230624175,9.334184708254842
10.0,470.0,3.0,1.09,9.9,1.0895101274538963,9.352393314211875
10.0,475.0,3.0,1.09,9.9,1.0892828795290916,9.353603446047813
10.0,480.0,3.0,1.09,10.0,1.089655583920571,9.39041357788374
10.0,485.0,3.0,1.1,9.9,1.0928083359957668,9.357425235598594
10.0,490.0,3.0,1.1,9.9,1.0929410403872462,9.356633841555626
10.0,495.0,3.0,1.1,9.9,1.0928537924624415,9.356245499270468
10.0,500.0,3.0,1.09,9.8,1.0897265206957782,9.325455631106403
10.0,505.0,3.0,1.09,9.9,1.0891792489291159,9.32780062215458
10.0,510.0,3.0,1.09,9.8,1.0890519771624534,9.324277420657184
10.0,515.0,3.0,1.09,9.9,1.089164705395791,9.326220885826455
