Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
25.1,280.0,1.12,24.0,1.126,24.32
25.1,285.0,1.12,24.5,1.128,24.28
25.0,290.0,1.13,24.4,1.124,24.22
25.1,295.0,1.13,24.1,1.126,24.259999999999998
25.1,300.0,1.12,24.1,1.13,24.2
25.1,305.0,1.13,24.2,1.128,24.16
25.1,310.0,1.14,24.2,1.128,24.139999999999997
25.1,315.0,1.12,24.2,1.134,24.160000000000004
25.1,320.0,1.13,24.0,1.138,24.1
25.1,325.0,1.15,24.2,1.134,25.22
25.1,330.0,1.15,23.9,1.138,24.959999999999997
25.1,335.0,1.13,24.2,1.14,24.96
25.0,340.0,1.13,24.1,1.138,25.08
25.1,345.0,1.13,24.0,1.134,25.04
25.0,350.0,1.12,24.1,1.128,24.119999999999997
25.1,355.0,1.13,24.3,1.134,24.14
25.1,360.0,1.13,24.1,1.134,24.22
25.1,365.0,1.16,24.2,1.136,24.24
25.1,370.0,1.13,24.4,1.136,24.240000000000002
25.1,375.0,1.13,24.2,1.138,23.3
25.0,380.0,1.13,24.3,1.132,25.1
25.0,385.0,1.13,24.5,1.13,23.28
25.1,390.0,1.14,24.1,1.13,25.06
25.1,395.0,1.13,24.2,1.13,26.139999999999997
25.1,400.0,1.13,24.2,1.13,26.419999999999998
30.1,10.0,0.15,30.1,0.21400000000000002,29.76
30.1,15.0,0.26,28.5,0.258,29.119999999999997
30.1,20.0,0.33,30.1,0.29000000000000004,29.74
30.0,25.0,0.45,29.9,0.422,29.48
30.1,30.0,0.52,28.5,0.5559999999999999,29.18
30.1,35.0,0.62,28.8,0.656,31.1
30.1,40.0,0.7,30.0,0.7140000000000001,30.48
30.1,45.0,0.8,28.5,0.784,29.18
30.1,50.0,0.85,30.1,0.818,30.419999999999998
30.1,55.0,0.95,28.5,0.9359999999999999,28.979999999999997
30.1,60.0,1.07,29.3,0.998,29.339999999999996
30.1,65.0,1.14,28.7,1.0219999999999998,31.76
30.1,70.0,1.12,29.9,1.13,30.32
30.1,75.0,1.13,28.4,1.142,29.380000000000003
30.1,80.0,1.14,29.6,1.14,30.2
30.1,85.0,1.15,28.5,1.1400000000000001,29.119999999999997
30.1,90.0,1.14,28.6,1.14,29.939999999999998
30.1,95.0,1.12,28.5,1.142,29.660000000000004
30.1,100.0,1.12,28.4,1.154,30.520000000000003
30.1,105.0,1.13,28.8,1.1400000000000001,28.76
30.1,110.0,1.14,28.7,1.136,29.76
30.0,115.0,1.13,28.7,1.132,27.8
30.1,120.0,1.13,28.5,1.136,30.1
30.1,125.0,1.15,28.6,1.142,29.840000000000003
30.1,130.0,1.12,29.8,1.128,27.919999999999998
30.1,135.0,1.12,28.4,1.14,29.9
30.1,140.0,1.12,28.6,1.126,29.9
30.1,145.0,1.13,28.5,1.1320000000000001,29.1
30.1,150.0,1.12,29.9,1.1320000000000001,29.98
