Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
15.0,210.0,3.0,1.13,14.7,1.128,14.62
15.0,215.0,3.0,1.13,14.7,1.13,14.64
15.0,220.0,3.0,1.13,14.6,1.13,14.66
15.0,225.0,3.0,1.13,14.6,1.13,14.639999999999997
15.0,230.0,3.0,1.13,14.7,1.13,14.64
15.0,235.0,3.0,1.13,14.7,1.13,14.64
15.0,240.0,3.0,1.13,14.6,1.128,14.639999999999997
15.0,245.0,3.0,1.13,14.6,1.128,14.64
15.0,250.0,3.0,1.12,14.6,1.128,14.62
15.0,255.0,3.0,1.13,14.7,1.13,14.6
15.0,260.0,3.0,1.13,14.6,1.13,14.6
15.0,265.0,3.0,1.13,14.6,1.132,14.6
15.0,270.0,3.0,1.14,14.6,1.134,14.62
15.0,275.0,3.0,1.13,14.6,1.134,14.62
15.0,280.0,3.0,1.14,14.6,1.132,14.639999999999997
15.0,285.0,3.0,1.13,14.7,1.13,14.66
15.0,290.0,3.0,1.12,14.7,1.13,14.66
15.0,295.0,3.0,1.13,14.7,1.13,14.66
15.0,300.0,3.0,1.14,14.7,1.128,14.680000000000001
15.0,305.0,3.0,1.13,14.7,1.128,14.680000000000001
15.0,310.0,3.0,1.13,14.6,1.126,14.680000000000001
15.0,315.0,3.0,1.13,14.7,1.1219999999999999,13.720000000000002
15.0,320.0,3.0,1.13,14.7,1.116,13.7
15.0,325.0,3.0,1.12,14.6,1.122,14.679999999999998
15.0,330.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,335.0,3.0,1.13,14.7,1.122,14.679999999999998
15.0,340.0,3.0,1.1,14.7,1.12,14.679999999999998
15.0,345.0,3.0,1.13,14.7,1.12,14.680000000000001
15.0,350.0,3.0,1.13,14.6,1.1219999999999999,14.680000000000001
15.0,355.0,3.0,1.12,14.7,1.1219999999999999,14.680000000000001
15.0,360.0,3.0,1.13,14.7,1.128,14.680000000000001
15.0,365.0,3.0,1.13,14.7,1.124,14.7
15.0,370.0,3.0,1.13,14.7,1.126,14.7
15.0,375.0,3.0,1.12,14.7,1.126,14.7
15.0,380.0,3.0,1.12,14.7,1.126,14.7
15.0,385.0,3.0,1.13,14.7,1.124,14.7
15.0,390.0,3.0,1.13,14.7,1.124,14.7
