Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
15.1,800.0,1.19,14.8,1.182,14.88
20.1,10.0,0.19,20.1,0.508,19.020000000000003
20.1,20.0,0.45,20.1,0.516,20.1
20.1,30.0,0.73,19.4,0.752,18.98
20.1,40.0,0.99,20.1,0.998,18.979999999999997
20.1,50.0,1.18,19.9,1.1039999999999999,20.98
20.1,60.0,1.17,20.0,1.1320000000000001,19.98
20.1,70.0,1.17,19.9,1.168,19.939999999999998
20.1,80.0,1.15,20.0,1.166,19.86
20.1,90.0,1.17,19.9,1.1620000000000001,20.74
20.1,100.0,1.17,19.5,1.1720000000000002,18.82
20.1,110.0,1.18,19.9,1.1759999999999997,18.799999999999997
20.1,120.0,1.17,19.9,1.172,19.68
20.1,130.0,1.18,19.9,1.182,20.560000000000002
20.1,140.0,1.19,19.8,1.182,20.56
20.1,150.0,1.17,19.3,1.184,19.5
20.1,160.0,1.19,19.8,1.186,18.48
20.1,170.0,1.18,19.9,1.186,16.64
20.1,180.0,1.19,19.9,1.1779999999999997,17.6
20.1,190.0,1.17,19.9,1.1779999999999997,18.56
20.1,200.0,1.16,19.3,1.1759999999999997,19.6
20.1,210.0,1.19,19.8,1.1779999999999997,18.639999999999997
20.1,220.0,1.17,20.0,1.176,18.639999999999997
20.1,230.0,1.18,19.3,1.18,19.599999999999998
20.1,240.0,1.17,19.3,1.172,19.639999999999997
20.1,250.0,1.17,20.0,1.172,19.58
20.1,260.0,1.17,19.9,1.174,19.759999999999998
20.1,270.0,1.18,19.7,1.168,17.919999999999998
20.1,280.0,1.16,20.0,1.178,18.86
20.1,290.0,1.17,19.9,1.174,20.72
20.1,300.0,1.18,19.9,1.18,18.919999999999998
20.1,310.0,1.17,19.9,1.1839999999999997,17.88
20.1,320.0,1.18,20.0,1.172,20.8
20.1,330.0,1.17,20.0,1.176,19.72
20.1,340.0,1.15,20.1,1.17,19.759999999999998
20.1,350.0,1.17,20.0,1.166,20.619999999999997
20.1,360.0,1.18,19.9,1.17,19.720000000000002
20.1,370.0,1.18,19.9,1.172,19.58
20.1,380.0,1.17,19.7,1.172,18.72
20.1,390.0,1.16,19.3,1.172,18.740000000000002
20.1,400.0,1.17,19.9,1.17,19.639999999999997
20.1,410.0,1.18,19.9,1.168,19.56
20.1,420.0,1.17,19.4,1.172,18.68
20.1,430.0,1.16,19.3,1.174,18.54
20.1,440.0,1.18,19.8,1.172,18.54
20.1,450.0,1.18,19.3,1.17,20.419999999999998
20.1,460.0,1.16,19.9,1.178,18.68
20.1,470.0,1.17,19.5,1.174,19.68
20.1,480.0,1.18,19.9,1.172,19.68
20.1,490.0,1.18,19.8,1.1759999999999997,19.68
20.1,500.0,1.17,19.3,1.1799999999999997,18.740000000000002
20.1,510.0,1.18,19.9,1.1799999999999997,18.720000000000002
20.1,520.0,1.18,19.8,1.18,18.759999999999998
