,y_true,ARIMA_pred,SVR_pred,LSTM_pred,TCN_pred
132,32260.99933,35082.59588,32744.97626,34053.85745292902,33285.49808
133,35310.00132,29887.32962,31931.42607,32965.688337266445,32527.75533
134,33998.00174,38912.97282,33018.85555,33960.94821816683,32985.53346
135,35890.00099,33438.19651,32560.29419,33596.74034559727,32925.59782
136,33795.99944,37782.0,34635.89069,34844.456283926964,34170.04908
137,33384.9991,31702.0,34424.87554,34252.05892401934,33919.60177
138,27520.9997,32974.0,33618.45219,34440.40393716097,33843.41987
139,30459.99972,23994.95614,31199.35117,31942.719103366137,31728.91769
140,31570.99954,31425.25429,31594.09806,32874.52344584465,31862.43157
141,30769.00005,36213.60481,31273.76731,32755.988889336586,31910.72785
142,29144.99987,29967.0,30582.32067,31543.45911040902,31007.54542
143,28236.00052,29287.23722,28522.79911,30012.180882513523,29525.7992
144,26628.00057,27654.89414,28776.31245,28956.351892381907,28330.91851
145,26325.00078,26025.02261,25590.26495,27633.438230723143,27187.7787
146,30059.99976,25896.3216,24878.24376,27159.173310279846,26820.54118
147,29248.00059,33449.90571,26047.02444,28767.467050880194,27882.73611
148,30134.99918,33449.90571,27525.00337,28661.50461947918,28055.38203
149,29663.00007,30541.13436,28357.95485,29248.70200008154,28409.05591
150,26526.99941,29191.0,30261.70204,29376.4228194654,28627.05659
151,31055.00074,23391.0,26917.90443,27958.497530281544,27460.26717
152,26824.99936,35583.0,28720.63532,30294.211822241545,29300.05363
153,23801.9991,22595.0,28297.90326,28779.056835263968,28453.43751
154,27420.99925,20779.0,27004.02936,27127.33445394039,26874.23024
155,27629.00025,27943.00787,27742.04466,28282.79299107194,27362.88507
156,24808.99933,28237.55883,27175.93187,28016.435435295105,27271.09222
157,26923.00024,21989.0,26123.19737,26121.191706746817,25981.19622
158,31559.99916,29037.0,26041.15352,26552.543944865465,25780.43332
159,33266.00183,36197.0,28927.54467,28983.38554185629,27668.13781
160,28236.99939,36549.84154,29207.72505,30560.058928072453,29638.0835
161,29951.9992,24944.5808,29543.71423,29088.411536306143,28716.26048
162,23896.00084,34134.15087,30389.43,30422.837864011526,29439.41565
163,28043.00087,18437.05424,28417.01957,27928.43974030018,27598.5991
164,26424.00053,28548.48992,29156.98999,29816.987026572227,29006.99661
165,27331.00031,24805.0,30007.39267,28759.80846554041,28477.14038
166,26317.00067,28238.0,27656.25574,28393.700176805258,27742.30362
