Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
10.0,320.0,1.17,9.9,1.1733831676046604,10.662559587616737
10.0,330.0,1.18,9.9,1.1770305618994006,10.667475082408401
10.0,340.0,1.15,10.0,1.1759533070318462,10.67145876974564
10.0,350.0,1.17,10.0,1.1730160521642918,10.673299533343727
10.0,360.0,1.15,9.9,1.1668187972967374,10.637883220680974
10.0,370.0,1.16,9.9,1.1695615424291845,10.636932048805974
10.0,380.0,1.17,9.8,1.1729242875616306,10.605560180587654
10.0,390.0,1.17,9.9,1.171747032694077,10.63480900871266
10.0,400.0,1.14,9.9,1.1597868589749147,10.634251432345817
10.0,410.0,1.17,9.8,1.1610029374406952,10.60650178634972
10.0,420.0,1.16,9.9,1.1632523492398081,10.633150614474724
10.0,430.0,1.17,9.9,1.1658817610389218,10.635999442599722
10.0,440.0,1.16,9.9,1.1671178395047022,10.641516463270294
10.0,450.0,1.17,9.9,1.169570302705012,10.652722372829754
10.0,460.0,1.18,10.0,1.1731540730373498,10.665304534288087
10.0,470.0,1.18,10.0,1.1730578672115441,10.669888221625323
10.0,480.0,1.17,9.9,1.1664016375438797,10.642670383083665
10.0,490.0,1.15,9.9,1.163505765504084,10.640115181532016
10.0,500.0,1.18,9.9,1.1719563546077842,10.638364009657016
10.0,510.0,1.14,9.9,1.161087992753228,10.638412837782017
10.0,520.0,1.2,9.8,1.1788396547405333,10.645398050998157
10.0,530.0,1.17,9.8,1.1712312928859814,10.667250387895086
10.0,540.0,1.14,10.0,1.1615229548732842,10.67296588268675
10.0,550.0,1.14,10.0,1.1617545930187316,10.67234957002399
10.0,560.0,1.18,9.8,1.1644462550060368,10.615333257361232
10.0,570.0,1.16,9.9,1.1663378931514845,10.603415418819566
10.0,580.0,1.17,9.8,1.1696095312969308,10.602464246944566
10.0,590.0,1.14,9.9,1.1699810173376821,10.631981267615142
10.0,600.0,1.17,9.9,1.1690182163707834,10.63263162161905
10.0,610.0,1.16,9.8,1.1663087725790757,10.606080449744045
10.0,620.0,1.14,10.0,1.1604212017953264,10.668429277869041
10.0,630.0,1.17,10.0,1.164027659620034,10.673946298539613
10.0,640.0,1.17,10.0,1.1712088450753573,10.67567274499292
10.0,650.0,1.19,10.0,1.1968587953655498,10.673906456744222
10.0,660.0,1.2,9.9,1.1867352582519544,10.64785380781845
10.0,670.0,1.17,10.0,1.2207077421981691,10.707611400527487
10.0,680.0,1.18,10.0,1.188427236419088,10.697090559056138
10.0,690.0,1.14,9.9,1.178105768223428,10.68585479665067
10.0,700.0,1.16,9.9,1.163161386250758,10.666893597386473
10.0,710.0,1.16,9.9,1.1591075083645965,10.6450126628058
10.0,720.0,1.18,9.8,1.1815217305831012,10.636425154667776
10.0,730.0,1.17,9.9,1.1721165293063238,10.663704313196428
10.0,740.0,1.18,9.8,1.1753575445498554,10.655319856816217
10.0,750.0,1.18,9.8,1.1782709008222338,10.644199015344862
10.0,760.0,1.2,10.0,1.181935635090154,10.703201078333135
10.0,770.0,1.17,9.9,1.1733552098658513,10.67225882979798
10.0,780.0,1.15,9.8,1.17420383542041,10.65211658126283
10.0,790.0,1.18,9.9,1.1745491969826252,10.68157280684877
10.0,800.0,1.17,9.9,1.1751902700548105,10.688230558313615
15.1,10.0,0.24,15.1,0.3538594368871967,16.302626210025352
15.1,20.0,0.58,15.1,0.5882208996456899,15.781327861141865
15.1,30.0,0.95,14.7,0.9020855310229171,15.209932762932265
15.1,40.0,1.2,14.8,1.0337460298716414,15.510878139630364
15.1,50.0,1.18,14.8,1.125787118069066,15.44855178386812
15.1,60.0,1.2,14.8,1.142287039705256,15.326030056471746
15.1,70.0,1.17,14.8,1.135231533816182,15.315437514967837
15.1,80.0,1.18,14.8,1.1702618507977156,15.304648025221743
15.1,90.0,1.18,15.0,1.1849166112614076,15.293855483717838
15.1,100.0,1.2,14.8,1.190637405049665,15.410841500673786
15.1,110.0,1.19,14.8,1.1893500274149453,15.294936668333799
15.1,120.0,1.17,14.9,1.180061536212758,15.310813328490045
15.1,130.0,1.2,14.7,1.1826377791555678,15.282987924664528
15.1,140.0,1.19,14.8,1.1840305523396792,15.294520883648909
15.1,150.0,1.17,14.8,1.1835231761520368,15.305723561057778
15.1,160.0,1.19,14.7,1.184102490472919,15.282858045921035
